JAHR,BFS_NR_GEMEINDE,GEMEINDE_NAME,EINWOHNER,energiebezugsflaeche,erdoelbrennstoffe,erdgas,elektrizitaet,holzenergie,fernwaerme,umweltwaerme,solarwaerme,andere,total
2015,4621,Warth-Weiningen,1238,114638,6.566,5.343,1.364,3.249,0.049,1.117,0.076,,17.764
2015,4791,Wuppenau,1120,95082,4.916,,1.423,3.72,0.279,1.092,0.126,,11.557
2015,4511,Zihlschlacht-Sitterdorf,2247,187818,10.265,5.028,2.384,4.16,0.416,1.255,0.083,0.121,23.712
2015,4643,Bottighofen,2166,191026,6.788,7.267,1.359,1.423,0.097,1.549,0.19,,18.671
2015,4911,Bürglen (TG),3679,275032,11.251,14.593,1.896,2.225,0.197,1.505,0.206,,31.872
2015,4921,Bussnang,2262,194207,9.119,4.815,2.142,5.356,0.128,1.608,0.207,0.048,23.424
2015,4545,Diessenhofen,3646,313753,14.112,12.626,3.362,3.976,0.208,1.907,0.072,0.01,36.274
2015,4406,Dozwil,681,46852,2.287,0.899,0.692,1.046,0.064,0.474,0.03,,5.493
2015,4571,Gachnang,3978,303275,14.756,8.135,2.968,2.026,,3.404,0.243,0.01,31.543
2015,4416,Hefenhofen,1230,104379,4.597,2.809,1.398,2.517,0.142,0.657,0.05,0.012,12.181
2015,4421,Horn,2592,218692,9.789,8.007,1.019,0.474,3.212,0.5,0.139,,23.14
2015,4590,Hüttlingen,829,73444,2.834,,1.181,3.461,0.464,0.704,0.021,0.019,8.685
2015,4666,Kemmental,2385,219794,11.863,0.266,2.37,9.195,0.311,2.233,0.225,0.019,26.481
2015,4591,Matzingen,2618,193010,9.29,6.659,2.226,2.149,0.109,1.229,0.093,,21.755
2015,4746,Münchwilen (TG),5252,435495,19.523,14.478,3.887,2.816,1.066,3.162,0.563,0.051,45.548
2015,4691,Münsterlingen,3187,301463,15.178,24.675,1.844,1.05,0.346,1.882,0.139,0.078,45.192
2015,4431,Roggwil (TG),2947,248632,17.317,2.64,2.168,3.259,0.306,1.553,0.12,0.525,27.889
2015,4851,Salenstein,1281,143474,6.914,3.802,1.422,3.278,0.157,0.994,0.06,0.027,16.653
2015,4756,Schönholzerswilen,804,72452,3.233,,1.14,4.085,0.079,0.736,0.064,,9.337
2015,4761,Sirnach,7642,641215,26.201,32.452,3.752,3.163,0.261,2.901,0.536,0.171,69.437
2015,4864,Steckborn,3716,333256,18.337,13.685,2.85,2.609,0.053,2.436,0.145,0.036,40.15
2015,4606,Stettfurt,1164,95017,2.956,3.987,1.204,1.119,0.161,1.146,0.058,0.024,10.656
2015,4611,Thundorf,1427,115714,6.337,,1.526,4.263,0.061,1.149,0.179,,13.514
2015,4451,Uttwil,1830,151035,5.935,7.071,1.616,0.924,,0.966,0.063,0.035,16.61
2015,4951,Wigoltingen,2369,203010,8.919,6.723,2.117,4.24,0.183,1.822,0.119,0.011,24.134
